en	fr	pair_score	passages	best_subchain_quality	mean_subchain_quality	min_hops	density_score	example
clack	claque	0.97	6	0.945	0.9433	2	5.66	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam ~ en:clem ≈ fr:club ~ fr:club}}
proudly	prend lis	0.94	6	0.944	0.9437	2	5.66	en:proudly ≈ fr:prend lis ~ fr:dès lis
reasoning	ries naine	0.936	6	0.944	0.9428	2	5.66	en:reasoning ≈ fr:ries naine ~ fr:dis ânesse
detest	dit est	0.983	6	0.978	0.9415	2	5.65	en:detest ≈ fr:dit est ~ fr:dis est
counting	khan teigne	0.923	6	0.947	0.9423	2	5.65	en:counted ~ en:counting ≈ fr:khan teigne
would	aide	0.9	6	0.942	0.942	3	5.65	~ en:artiste fr:assiste ~ fr:aide ≈ en:would
singular	sain goulée	0.92	6	0.942	0.938	2	5.63	en:singular ≈ fr:sain goulée ~ fr:sain ose
ripped	rift	0.915	6	0.939	0.9385	2	5.63	en:ripped ≈ fr:rift ~ fr:rient rift
caddy	caddie	0.97	6	0.938	0.9377	2	5.63	en:caddy ≈ fr:caddie ~ en:cadge
cadi	caddie	0.97	6	0.938	0.9377	2	5.63	en:cadi ≈ fr:caddie ~ en:cadge
pressmen	près mène	0.983	6	0.938	0.938	2	5.63	en:pressmen ≈ fr:près mène ~ fr:près éden
teeny	fini	0.938	6	0.965	0.937	2	5.62	en:teeny ≈ fr:fini ~ fr:finis
training	train in	0.913	6	0.952	0.9367	3	5.62	en:treading ≈ fr:training ~ en:training ≈ fr:train in
ought yen	obtiennent	0.922	6	0.948	0.9372	2	5.62	en:ought yen ≈ fr:obtiennent ~ fr:obtenir
festival	cessent vol	0.939	6	0.943	0.9365	2	5.62	en:fit evil ≈ fr:festival ~ en:festival ≈ fr:cessent vol
shotgun	chaud gaine	0.955	6	0.94	0.9367	2	5.62	en:shotgun ≈ fr:chaud gaine ~ fr:chaude
conceit	con site	0.96	6	0.938	0.936	2	5.62	en:conceit ≈ fr:con site ~ fr:site
suggested	cèdes esthète	0.934	6	0.936	0.936	3	5.62	~ en:investing fr:nouées teigne ~ fr:cèdes esthète ≈ en:suggested
lenders	lin dos	0.94	6	0.941	0.9357	2	5.61	≈ en:lender ~ en:lenders ≈ fr:lin dos
sensation	saines échine	0.934	6	0.938	0.9343	2	5.61	en:sensation ≈ fr:saines échine ~ fr:sain ose
eve	ives	1.0	6	0.951	0.9327	2	5.6	en:eve ≈ fr:ives ~ fr:ive
setae	synthé	0.94	6	0.937	0.934	2	5.6	en:setae ≈ fr:synthé ~ fr:synthèse
quantum	quad homme	0.932	6	0.943	0.9317	4	5.59	en:quantities ~ en:quantity ≈ fr:quad tee ~ fr:quad homme ≈ en:quantum
simply	sain plie	0.911	6	0.935	0.9323	2	5.59	en:simply ≈ fr:sain plie ~ fr:sain joli
set	sept	1.0	6	0.934	0.932	2	5.59	≈ en:setters ~ en:set ≈ fr:sept
port	potes	1.0	6	0.95	0.9292	2	5.58	en:porters ≈ fr:pot aise ~ fr:potes ≈ en:port
counties	khan thèse	0.94	6	0.936	0.9297	2	5.58	en:counties ≈ fr:khan thèse ~ fr:khan tri
if	ifs	0.95	6	0.935	0.9308	2	5.58	en:if ≈ fr:ifs ~ fr:if
exon	exode	0.932	6	0.932	0.9297	2	5.58	en:exon ≈ fr:exode = en:exodus
sunset	saines êtes	0.955	6	0.931	0.9277	2	5.57	en:sunset ≈ fr:saines êtes ~ fr:sain ose
supernatural	soutenait charles	0.916	6	0.93	0.9277	2	5.57	en:supernatural ≈ fr:soutenait charles ~ fr:paient schiste
red error	restera	0.911	6	0.932	0.9267	3	5.56	en:redressed ≈ fr:rient reste ~ fr:restera ≈ en:red error
shortly	chaud lis	0.98	6	0.931	0.9273	2	5.56	≈ en:briefly ~ en:shortly ≈ fr:chaud lis
freezing	frits in	0.958	6	0.928	0.9273	2	5.56	en:freeze ~ en:freezing ≈ fr:frits in
quiche	quiches	1.0	6	0.928	0.9268	2	5.56	en:quiche ≈ fr:quiches ~ en:quip
rest	restent	1.0	6	0.933	0.9257	2	5.55	en:remainder ~ fr:restent ≈ en:rest
restored	rincent ode	0.96	6	0.933	0.9257	2	5.55	en:restoration ~ en:restored ≈ fr:rincent ode
resource	ries os	0.98	6	0.929	0.9252	2	5.55	en:resource ≈ fr:ries os ~ fr:pris os
error	ère	1.0	6	0.98	0.9225	2	5.54	en:error ≈ fr:ère ~ fr:epoque
rotten	rat haine	0.952	6	0.946	0.9228	2	5.54	en:rotter ~ en:rotten ≈ fr:rat haine
completely	con plient lis	0.94	6	0.924	0.9228	2	5.54	en:completely ≈ fr:con plient lis ~ fr:tain digne
pecs	box	0.911	6	0.924	0.9227	3	5.54	en:textbooks ≈ fr:taxent box ~ fr:box ≈ en:pecs
pecks	box	0.911	6	0.934	0.9217	2	5.53	en:pecked ~ en:pecks ≈ fr:box
countries	khan treize	0.94	6	0.927	0.9215	2	5.53	en:countries ≈ fr:khan treize ~ fr:khan tri
residency	raies don ci	0.96	6	0.923	0.9212	2	5.53	en:residency ≈ fr:raies don ci ~ fr:vies ès
networks	nid vexe	0.92	6	0.927	0.9177	2	5.51	en:network ~ en:networks ≈ fr:nid vexe
crossover	crocs avez	0.925	6	0.92	0.9167	2	5.5	en:crossover ≈ fr:crocs avez ~ fr:pot reps
protective	prêt active	0.936	6	0.92	0.9163	2	5.5	en:protective ≈ fr:prêt active ~ fr:active
representation	repris aident échine	0.933	6	0.924	0.915	2	5.49	en:representation ≈ fr:repris aident échine ~ fr:chinent
founding	fanent in	0.93	6	0.916	0.9152	3	5.49	en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
eastern	hissent haine	0.976	6	0.923	0.9142	2	5.48	en:eastern ≈ fr:hissent haine ~ fr:tain hisse
bathroom	bat rhume	0.931	6	0.916	0.9137	2	5.48	en:bathroom ≈ fr:bat rhume ~ fr:bat noces
baseball	pays bol	0.952	6	0.913	0.9125	2	5.48	en:softball ~ en:baseball ≈ fr:pays bol
collected	cliquent aide	0.933	6	0.905	0.9015	3	5.41	en:collectively ≈ fr:collectes lis ~ en:collected ≈ fr:cliquent aide
causes	cons aise	0.952	6	0.902	0.9013	2	5.41	en:causes ≈ fr:cons aise ~ fr:con tilde
reedy	rider	0.97	6	0.904	0.8945	2	5.37	≈ en:reeding ~ en:reedy ≈ fr:rider
restoration	rincent origine	0.913	6	0.894	0.8932	2	5.36	en:restoring ~ en:restoration ≈ fr:rincent origine
cross	crosse	1.0	5	1.0	0.9952	2	4.98	en:crosse ~ fr:crosse ≈ en:cross
prove	prouve	1.0	5	0.994	0.9864	2	4.93	en:prove ≈ fr:prouve ~ fr:prouvée
caught	cotes	1.0	5	0.99	0.9862	2	4.93	en:caught ≈ fr:cotes ~ fr:cote
sees	sise fr:sises		5	0.99	0.986	3	4.93	~ en:seize ≈ fr:sise fr:sises ≈ en:sees
mousse	mousses	1.0	5	1.0	0.9822	2	4.91	en:moose ≈ fr:mousse ~ en:mousse ≈ fr:mousses
stem	stemms	1.0	5	0.987	0.9822	2	4.91	en:stem ≈ fr:stemms ~ fr:messe
tell	tels	1.0	5	0.986	0.982	3	4.91	en:tell ≈ fr:tels ~ en:tel ≈ fr:telle ~ fr:comme
betta	bêta	0.963	5	0.985	0.9798	2	4.9	en:betta ≈ fr:bêta ~ fr:bêtes
ski	skis	1.0	5	0.986	0.9774	2	4.89	en:ski ≈ fr:skis ~ fr:ski
zoom	zooment	1.0	5	0.985	0.9778	2	4.89	en:zoo ~ fr:zooment ≈ en:zoom
mallee	mali	0.97	5	0.984	0.9778	2	4.89	en:mallee ≈ fr:mali ~ fr:chique
jefe	jeep	0.94	5	0.981	0.9786	2	4.89	en:jeep ~ fr:jeep ≈ en:jefe
steal	style	1.0	5	0.981	0.9778	3	4.89	en:steel ≈ fr:styles ~ fr:style ≈ en:steal
fila	filer	1.0	5	0.98	0.978	2	4.89	en:fila ≈ fr:filer ~ fr:files
to	tout	1.0	5	0.979	0.9786	3	4.89	en:too ≈ fr:touts ~ fr:tout ≈ en:to
pd	pie dits	1.0	5	0.989	0.9756	2	4.88	en:moody ≈ fr:mous dits ~ fr:pie dits ≈ en:pd
peaceful	pis folle	0.96	5	0.981	0.9762	2	4.88	en:peaceful ≈ fr:pis folle ~ fr:folle
seem	cime	1.0	5	0.974	0.974	2	4.87	en:seem ≈ fr:cime ~ fr:cimes
seaport	chipote	0.952	5	0.978	0.971	2	4.86	en:seaport ≈ fr:chipote ~ fr:chique
seam	cimes	1.0	5	0.974	0.9728	2	4.86	en:seem ≈ fr:cime ~ fr:cimes ≈ en:seam
looter	lutter	0.97	5	0.972	0.972	2	4.86	en:looter ≈ fr:lutter ~ fr:boutis
meany	minis	1.0	5	0.982	0.97	2	4.85	en:meany ≈ fr:minis ~ fr:mini
tutor	tour	1.0	5	0.982	0.9696	2	4.85	en:tutor ≈ fr:tour ~ fr:tournée
blued	blues	0.94	5	0.98	0.971	2	4.85	en:blued ≈ fr:blues ~ en:blues
disprove	dis prouve	0.969	5	0.977	0.9694	2	4.85	en:disprove ≈ fr:dis prouve ~ fr:prouve ≈ en:prove
coupe	coupent	1.0	5	0.971	0.971	2	4.85	≈ fr:coupe ~ en:coupe ≈ fr:coupent
very	vais rient	1.0	5	0.979	0.9682	2	4.84	en:very ≈ fr:vais rient ~ fr:mets rient
frill	frêle	0.97	5	0.97	0.9688	2	4.84	≈ en:frock ~ en:frill ≈ fr:frêle
soup	soupent	1.0	5	0.969	0.9676	2	4.84	en:nixed ~ fr:soupent ≈ en:soup
teepee	tipi	1.0	5	0.969	0.9682	2	4.84	en:tipi ~ fr:tipi ≈ en:teepee
sheen	chines	1.0	5	0.986	0.9668	2	4.83	en:sheen ≈ fr:chines ~ fr:chinoise
movie	mous vies	1.0	5	0.977	0.9648	2	4.82	en:movie ≈ fr:mous vies ~ fr:bethléem
wrapped	rapt	0.97	5	0.973	0.9644	2	4.82	en:rapt ~ fr:rapt ≈ en:wrapped
mm	aiment aimes	1.0	5	0.972	0.9646	2	4.82	en:mm ≈ fr:aiment aimes ~ fr:cassent aimé
neater	mité	0.926	5	0.964	0.964	2	4.82	en:neater ≈ fr:mité ~ fr:mite
surrender	serein des	0.983	5	0.973	0.9624	2	4.81	en:surrender ≈ fr:serein des ~ fr:serein
envy	haines vies	1.0	5	0.964	0.9622	2	4.81	en:envy ≈ fr:haines vies ~ fr:mous vies
merger	met chez	0.929	5	0.964	0.9622	2	4.81	en:merger ≈ fr:met chez ~ fr:dit chez
tracks	trax	0.976	5	0.963	0.962	3	4.81	en:pieced ≈ fr:pistes = en:tracks ≈ fr:trax
bender	ben des	0.976	5	0.962	0.962	2	4.81	en:bender ≈ fr:ben des ~ fr:ben faites
fresh	fraîche	1.0	5	0.99	0.9604	2	4.8	en:fresh ≈ fr:fraîche ~ fr:fraîches
levy	lez vies	1.0	5	0.983	0.961	2	4.8	en:levy ≈ fr:lez vies ~ fr:ondes
choc	jack	0.911	5	0.97	0.9604	2	4.8	en:jack ~ fr:jack ≈ en:choc
cist	zeste	0.94	5	0.961	0.9596	2	4.8	en:cist ≈ fr:zeste ~ en:zest
cyst	zeste	0.94	5	0.961	0.9596	2	4.8	en:cyst ≈ fr:zeste ~ en:zest
pinny	penny	0.94	5	0.966	0.9588	2	4.79	en:pinny ≈ fr:penny ~ en:penny
recoup	recoupe	0.97	5	0.966	0.9576	2	4.79	en:recoup ≈ fr:recoupe ~ fr:reculer
swede	souhaite	0.94	5	0.966	0.9584	2	4.79	en:swede ≈ fr:souhaite ~ fr:souhaiter
teaches	dit chaise	0.96	5	0.961	0.9588	2	4.79	en:teaching ~ en:teaches ≈ fr:dit chaise
vending	vin digne	0.944	5	0.961	0.958	2	4.79	en:vending ≈ fr:vin digne ~ fr:vis tes
wed	oued	1.0	5	0.959	0.959	2	4.79	en:wed ≈ fr:oued ~ fr:oueds
prisoner	pris né	0.96	5	0.958	0.9576	3	4.79	en:frisson ya ≈ fr:prisonnier ~ en:prisoner ≈ fr:pris né
seaboard	chipote	0.905	5	0.966	0.9566	2	4.78	en:seaboard ≈ fr:chipote ~ fr:chique
medal	met elle	0.952	5	0.958	0.9552	2	4.78	en:medal ≈ fr:met elle ~ fr:trais elle
tightly	taillent lis	0.96	5	0.956	0.956	2	4.78	en:tightly ≈ fr:taillent lis ~ fr:freinent lis
prosperity	près perdit	0.952	5	0.958	0.9548	2	4.77	en:prosperity ≈ fr:près perdit ~ fr:perdent
pizza	peut ses	0.952	5	0.956	0.9542	2	4.77	en:pizza ≈ fr:peut ses ~ fr:peut
eschew	hissent chou	0.98	5	0.955	0.955	2	4.77	en:escheat ~ en:eschew ≈ fr:hissent chou
disport	despote	0.98	5	0.961	0.9512	2	4.76	en:disport ≈ fr:despote ~ fr:dépote
fending	vin digne	0.924	5	0.956	0.953	2	4.76	en:fending ≈ fr:vin digne ~ fr:vis tes
needing	nid in	0.926	5	0.956	0.9518	3	4.76	en:knee ≈ fr:nids ~ fr:nid in ≈ en:needing
awed	odes	1.0	5	0.955	0.953	2	4.76	en:awed ≈ fr:odes ~ fr:émises
leaky	ligués	0.94	5	0.954	0.9528	2	4.76	en:leaky ≈ fr:ligués ~ fr:savait
phrases	frais aise	0.952	5	0.953	0.953	2	4.76	en:phrases ≈ fr:frais aise ~ fr:fraîche
reprove	réprouve	0.96	5	0.953	0.9514	2	4.76	en:reprove ≈ fr:réprouve ~ fr:cognent revêtit
sport	spots	1.0	5	0.975	0.9496	2	4.75	en:sport ≈ fr:spots ~ fr:spot
precede	président	0.94	5	0.967	0.9498	2	4.75	en:precede ≈ fr:président ~ fr:présidente
fleece	plisse	0.94	5	0.954	0.9508	2	4.75	en:fleece ≈ fr:plisse ~ fr:plié
aster	acheter	0.926	5	0.952	0.9504	2	4.75	en:aster ≈ fr:acheter ~ fr:dis acheter
wending	vin digne	0.91	5	0.952	0.9494	2	4.75	en:wending ≈ fr:vin digne ~ fr:vis tes
tech	teks	1.0	5	0.951	0.9502	3	4.75	en:context ≈ fr:khan texte ~ fr:teks ≈ en:tech
ed	aides	1.0	5	0.95	0.9494	2	4.75	en:ed ≈ fr:aides ~ fr:estimait aide
ski	skie	1.0	5	0.96	0.9484	2	4.74	en:ski ≈ fr:skie ~ en:skid
peak	pic	1.0	5	0.955	0.9486	2	4.74	en:peak ≈ fr:pic ~ fr:képi
pardon	pas haine	0.917	5	0.952	0.9474	2	4.74	en:pardon ≈ fr:pas haine ~ fr:sait haine
bell	bel	1.0	5	0.948	0.948	2	4.74	en:bell ≈ fr:bel ~ fr:belize
belle	bel	1.0	5	0.948	0.948	2	4.74	en:belle ≈ fr:bel ~ fr:belize
granted	cran tête	0.932	5	0.948	0.948	2	4.74	en:granted ≈ fr:cran tête ~ fr:recoins tête
meatball	met bol	0.96	5	0.948	0.948	2	4.74	en:meatball ≈ fr:met bol ~ fr:fait bol
seat	citent	1.0	5	0.948	0.948	2	4.74	≈ en:seating ~ en:seat ≈ fr:citent
fool	foules	1.0	5	0.962	0.946	2	4.73	en:fool ≈ fr:foules ~ fr:foule
deader	dédie	0.945	5	0.955	0.9452	2	4.73	en:deader ≈ fr:dédie ~ fr:dépote
secretly	secret lis	0.94	5	0.949	0.9452	2	4.73	en:secretly ≈ fr:secret lis ~ fr:secret ri
mystery	mais tri	0.94	5	0.947	0.946	2	4.73	≈ en:clue ~ en:mystery ≈ fr:mais tri
prostate	pros tête	0.943	5	0.946	0.946	2	4.73	en:prostate ≈ fr:pros tête ~ fr:recoins tête
air	ère	1.0	5	0.98	0.9432	2	4.72	en:air ≈ fr:ère ~ fr:epoque
fortunate	faut chaînette	0.958	5	0.958	0.9448	2	4.72	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis
disorder	dis ondées	0.944	5	0.952	0.9448	2	4.72	en:disorder ≈ fr:dis ondées ~ fr:dis aigri
despite	dis pâte	0.952	5	0.948	0.9436	2	4.72	en:despite ≈ fr:dis pâte ~ fr:met rixe
eat	hit	1.0	5	0.982	0.9422	2	4.71	en:eating ~ en:eat ≈ fr:hit
pally	pâli	0.97	5	0.969	0.9418	2	4.71	en:pally ≈ fr:pâli ~ fr:pâle
metric	met reg	0.96	5	0.959	0.943	2	4.71	en:metric ≈ fr:met reg ~ fr:apparaît
macks	max	0.97	5	0.957	0.9412	2	4.71	en:macks ≈ fr:max ~ fr:maximum
macs	max	0.97	5	0.957	0.9412	2	4.71	en:macs ≈ fr:max ~ fr:maximum
mentor	main taux	0.956	5	0.953	0.9428	2	4.71	en:centaur ≈ fr:sain taux ~ fr:main taux ≈ en:mentor
porters	pot aise	0.956	5	0.95	0.9414	2	4.71	en:porters ≈ fr:pot aise ~ fr:potes
legendary	laid gênent ri	0.946	5	0.942	0.942	2	4.71	en:legendary ≈ fr:laid gênent ri ~ fr:rient oust
newsletter	nous laiteux	0.966	5	0.942	0.942	2	4.71	en:newsletter ≈ fr:nous laiteux ~ fr:laiteux
order	hordes	1.0	5	0.942	0.942	2	4.71	en:order ≈ fr:hordes ~ fr:foules
endorsed	haines est	0.901	5	0.945	0.9404	2	4.7	en:endorsed ≈ fr:haines est ~ fr:sait haine
reseed	réside	0.929	5	0.942	0.9404	2	4.7	≈ en:resell ~ en:reseed ≈ fr:réside
transmit	traînes mythe	0.943	5	0.94	0.94	2	4.7	en:transmit ≈ fr:traînes mythe ~ fr:mythe
spree	spray	0.94	5	0.939	0.939	2	4.69	en:spree ≈ fr:spray ~ fr:sprays in
spreading	sprays in	0.93	5	0.939	0.9378	2	4.69	en:spree ≈ fr:spray ~ fr:sprays in ≈ en:spreading
inly	inouï	0.925	5	0.943	0.9364	2	4.68	en:inly ≈ fr:inouï ~ fr:inhérent
levee	lever	0.94	5	0.941	0.935	2	4.68	en:levee ≈ fr:lever = en:sunrise
praetor	prêter	0.952	5	0.936	0.9356	2	4.68	en:praetor ≈ fr:prêter ~ fr:prêtons
professors	brevets aise	0.94	5	0.948	0.934	2	4.67	en:professors ≈ fr:brevets aise ~ fr:brevets
suspected	ces pectine	0.936	5	0.934	0.934	2	4.67	en:suspected ≈ fr:ces pectine ~ fr:iniques pectine
drupe	troupes	0.97	5	0.964	0.932	2	4.66	en:drupe ≈ fr:troupes ~ fr:troupe
shattered	chat aide	0.952	5	0.934	0.9322	3	4.66	en:shattered ≈ fr:chat aide ~ en:chat ≈ fr:chat
cleave	clive	1.0	5	0.973	0.9298	2	4.65	en:cleat ~ en:cleave ≈ fr:clive
active	active	0.956	5	0.967	0.93	2	4.65	en:active ≈ fr:active ~ fr:actives
beat	bite	1.0	5	0.935	0.9304	4	4.65	≈ fr:speed fr:vitesse ≈ en:beaters ~ en:beat ≈ fr:bite ~ fr:bites
misty	mais tee	0.952	5	0.934	0.9296	2	4.65	en:misty ≈ fr:mais tee ~ fr:trots tee
aesthetic	hissent éthique	0.937	5	0.933	0.93	3	4.65	en:it attack ≈ fr:esthétique ~ en:aesthetic ≈ fr:hissent éthique
eldest	elles est	0.94	5	0.932	0.9304	2	4.65	en:eldest ≈ fr:elles est ~ fr:elles aise
promoted	promet aide	0.947	5	0.931	0.9296	2	4.65	en:promoted ≈ fr:promet aide ~ fr:promis aise
suggest	sait geste	0.966	5	0.931	0.929	2	4.65	en:suggest ≈ fr:sait geste ~ fr:fais aise
pectin	pectine	0.983	5	0.93	0.93	2	4.65	en:pectin ≈ fr:pectine ~ fr:iniques pectine
classes	clans aise	0.94	5	0.942	0.9258	2	4.63	en:classes ≈ fr:clans aise ~ fr:clans
subtle	saut elle	0.952	5	0.936	0.9266	2	4.63	en:subtle ≈ fr:saut elle ~ fr:pics elle
classroom	clans rhume	0.949	5	0.934	0.9254	2	4.63	en:classroom ≈ fr:clans rhume ~ fr:clans aise
quip	clip	0.925	5	0.928	0.926	3	4.63	en:quiche ≈ fr:quiches ~ en:quip ≈ fr:clip
desist	dis est	0.944	5	0.927	0.9252	2	4.63	en:desist ≈ fr:dis est ~ fr:dit est
quid	quid	0.975	5	0.927	0.9264	2	4.63	en:quid ≈ fr:quid ~ en:quiche
several	ces rôle	0.911	5	0.927	0.927	2	4.63	en:several ≈ fr:ces rôle ~ fr:nouent rôle
seventy	saison tee	0.923	5	0.926	0.9252	2	4.63	en:seventy ≈ fr:saison tee ~ fr:saison elle
previously	privées lis	0.947	5	0.944	0.9236	2	4.62	en:previous ~ en:previously ≈ fr:privées lis
exchanges	axent chaînes chaise	0.912	5	0.931	0.923	2	4.62	en:exchanges ≈ fr:axent chaînes chaise ~ fr:coincent chaîne
provision	brevets haine	0.926	5	0.926	0.9232	2	4.62	en:provision ≈ fr:brevets haine ~ fr:brevets aise
oldest	elles est	0.915	5	0.925	0.9236	2	4.62	en:oldest ≈ fr:elles est ~ fr:elles aise
switching	souhait chine	0.947	5	0.924	0.922	2	4.61	en:switching ≈ fr:souhait chine ~ fr:souhait in
restive	rincent ive	0.963	5	0.922	0.922	2	4.61	en:restive ≈ fr:rincent ive ~ fr:rincent ode
flooded	flot aide	0.94	5	0.921	0.921	2	4.61	en:flooded ≈ fr:flot aide ~ fr:évoquent aide
becks	box	0.94	5	0.961	0.919	2	4.59	en:becks ≈ fr:box ~ fr:boxe
grounded	crânes aide	0.925	5	0.922	0.9174	2	4.59	en:grounded ≈ fr:crânes aide ~ fr:crâne
red	raid	1.0	5	0.918	0.918	2	4.59	≈ en:red error ~ en:red ≈ fr:raid
oozing	usine	0.908	5	0.934	0.9156	2	4.58	en:oozing ≈ fr:usine = en:factory
decisive	dis achève	0.913	5	0.925	0.9168	2	4.58	en:decisive ≈ fr:dis achève ~ fr:finis
forces	faux aise	0.932	5	0.922	0.916	2	4.58	en:forces ≈ fr:faux aise ~ fr:faux in
excel	ex aile	1.0	5	0.921	0.917	2	4.58	en:excel ≈ fr:ex aile ~ en:exes
freebie	fripé	0.952	5	0.955	0.9144	2	4.57	en:freebie ≈ fr:fripé ~ fr:frégate
pappy	papy	0.97	5	0.94	0.914	2	4.57	en:pappy ≈ fr:papy ~ fr:papes
internet	aident honnête	0.932	5	0.914	0.9136	2	4.57	en:internet ≈ fr:aident honnête ~ en:honesty
strategy	strates chie	0.927	5	0.919	0.9128	2	4.56	en:strategy ≈ fr:strates chie ~ fr:stade
nicked	dicte	0.915	5	0.921	0.91	2	4.55	en:ticked ~ en:nicked ≈ fr:dicte
reinforced	rien poste	0.915	5	0.91	0.9048	2	4.52	en:reinforced ≈ fr:rien poste ~ fr:rien
examination	examen échine	0.93	5	0.894	0.894	2	4.47	en:examination ≈ fr:examen échine ~ en:exam
rented	rhin tête	0.94	5	0.893	0.893	2	4.46	≈ en:rental ~ en:rented ≈ fr:rhin tête
disturbing	dissent open	0.924	5	0.895	0.8896	2	4.45	en:disturbing ≈ fr:dissent open ~ fr:dissent rose
get your	questions	0.921	5	0.89	0.89	2	4.45	en:quiz ~ fr:questions ≈ en:get your
trademark	trait mac	0.95	5	0.892	0.8868	2	4.43	en:trademark ≈ fr:trait mac ~ fr:trait in
penguin	pain gouine	0.947	5	0.885	0.8844	2	4.42	en:penguin ≈ fr:pain gouine ~ fr:pain folle
exclusion	exclus haine	0.947	5	0.88	0.879	2	4.4	en:exclusion ≈ fr:exclus haine ~ en:excluding
it aura	instaurer	0.921	5	0.858	0.8064	2	4.03	en:it aura ≈ fr:instaurer ~ fr:attila
two	tout	1.0	4	0.995	0.995	3	3.98	en:to ≈ fr:touts ~ fr:tout ≈ en:two
seller	selles	1.0	4	0.994	0.99	3	3.96	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selles
cooper	coupes	1.0	4	0.99	0.9865	2	3.95	en:cooper ≈ fr:coupes ~ fr:coupe
bean	bine	1.0	4	0.987	0.987	3	3.95	~ en:meter fr:mire ~ fr:bine ≈ en:bean
court	cote	1.0	4	0.99	0.9852	3	3.94	en:caught ≈ fr:cotes ~ fr:cote ≈ en:court
booed	boudes	1.0	4	0.988	0.9848	2	3.94	en:booed ≈ fr:boudes ~ fr:boumes
tarty	tati	0.985	4	0.988	0.9828	2	3.93	en:tarty ≈ fr:tati ~ fr:baba
gene	djinns	1.0	4	0.981	0.981	4	3.92	≈ fr:gins fr:gin ≈ en:jinn = fr:djinns ≈ en:gene
gean	gins	1.0	4	0.981	0.981	3	3.92	en:gean ≈ fr:gins ~ fr:gin ≈ en:jinn
bootee	boutis	1.0	4	0.98	0.98	2	3.92	en:bootie ~ en:bootee ≈ fr:boutis
sees en:seen	seines		4	0.982	0.977	3	3.91	~ fr:sises ≈ en:sees en:seen ≈ fr:seines
troop	troupe	1.0	4	1.0	0.9752	2	3.9	en:troop ≈ fr:troupe ~ en:troupe
quin	couine	0.975	4	0.979	0.976	2	3.9	en:quin ≈ fr:couine ~ fr:couines
former	formes	1.0	4	0.977	0.9745	2	3.9	en:former ≈ fr:formes ~ fr:forme
eave	ives	1.0	4	0.976	0.9728	2	3.89	en:eave ≈ fr:ives ~ fr:ive
less	laissent	1.0	4	0.975	0.9725	3	3.89	en:lesser ≈ fr:laisses ~ fr:laissent ≈ en:less
tell en:telly	télé		4	0.973	0.973	3	3.89	~ fr:telle ≈ en:tell en:telly ≈ fr:télé
superstar	soupes fr:soupes ta		4	0.984	0.9702	3	3.88	~ en:soup ≈ fr:soupes fr:soupes ta ≈ en:superstar
pleas	plisse	0.97	4	0.971	0.971	3	3.88	= fr:pli en:plea ~ en:pleas ≈ fr:plisse
too	tous	1.0	4	0.97	0.97	3	3.88	= fr:hall en:all = fr:tous ≈ en:too
two	tous	1.0	4	0.97	0.97	3	3.88	= fr:hall en:all = fr:tous ≈ en:two
clue	clou	1.0	4	0.984	0.9685	2	3.87	en:clued ~ en:clue ≈ fr:clou
sics	sexe	0.97	4	0.982	0.9682	3	3.87	en:sics ≈ fr:sexe ~ en:sex ≈ fr:sexes
blues	blouse	1.0	4	0.98	0.9687	3	3.87	en:blued ≈ fr:blues ~ en:blues ≈ fr:blouse
cruse	crous	1.0	4	0.969	0.9665	2	3.87	en:cruse ≈ fr:crous ~ en:cress
teeter	titi	0.97	4	0.969	0.968	3	3.87	~ fr:tipi en:teepee ~ en:teeter ≈ fr:titi
lesser en:lessen	lettone		4	0.968	0.968	3	3.87	~ fr:laissent ≈ en:lesser en:lessen ≈ fr:lettone
settlers en:settler	sait les		4	0.966	0.966	3	3.86	~ fr:sait lès ≈ en:settlers en:settler ≈ fr:sait les
call	cols	1.0	4	0.965	0.965	2	3.86	≈ en:caller ~ en:call ≈ fr:cols
call	colle	1.0	4	0.965	0.965	2	3.86	≈ en:caller ~ en:call ≈ fr:colle
corset	concède	0.952	4	0.967	0.9633	2	3.85	en:concede = fr:concède ≈ en:corset
legion	lient gêne	0.96	4	0.966	0.9637	2	3.85	en:legion ≈ fr:lient gêne ~ fr:rient gêne
toot en:toot were	toutefois		4	0.964	0.9622	3	3.85	~ fr:toute ≈ en:toot en:toot were ≈ fr:toutefois
kaki	kaki	0.97	4	0.962	0.9615	2	3.85	en:khaki = fr:kaki ≈ en:kaki
crick	crique	0.975	4	0.968	0.9605	2	3.84	en:crick ≈ fr:crique ~ fr:crète
breeder	bridé	1.0	4	0.962	0.9603	2	3.84	en:wedgie ~ fr:bridé ≈ en:breeder
si	scies	1.0	4	0.961	0.961	3	3.84	en:seizes ≈ fr:scies aise ~ fr:scies ≈ en:si
mys	maïs	0.945	4	0.96	0.96	3	3.84	~ fr:corne en:corn = fr:maïs ≈ en:mys
crus	crous	0.97	4	0.961	0.9567	2	3.83	en:crus ≈ fr:crous ~ en:cress
teachers	dit chaise	0.96	4	0.961	0.9572	2	3.83	en:teachers ≈ fr:dit chaise ~ fr:sain dit chaise
temple	tain paul	0.911	4	0.961	0.958	3	3.83	en:tender ≈ fr:tain des ~ fr:tain paul ≈ en:temple
